Date,District,Cases
6/1/2020,Rajbari,0
6/1/2020,Rajshahi,0
6/1/2020,Rangamati,1
6/1/2020,Rangpur,29
6/1/2020,Satkhira,0
6/1/2020,Shariatpur,4
6/1/2020,Sherpur,0
6/1/2020,Sirajganj,5
6/1/2020,Sunamganj,0
6/1/2020,Sylhet,71
6/1/2020,Tangail,0
6/1/2020,Thakurgaon,4
5/31/2020,Bagerhat,17
5/31/2020,Bandarban,5
5/31/2020,Barguna,23
5/31/2020,Barishal,0
5/31/2020,Bhola,0
5/31/2020,Bogura,0
5/31/2020,Brahmmanbaria,0
5/31/2020,Chandpur,18
5/31/2020,Chapai Nawabganj,8
5/31/2020,Chattogram,153
5/31/2020,Chuadanga,0
5/31/2020,Cox s Bazar,98
5/31/2020,Cumilla,75
5/31/2020,Dhaka,842
5/31/2020,Dinajpur,0
5/31/2020,Faridpur,51
5/31/2020,Feni,58
5/31/2020,Gaibandha,0
5/31/2020,Gazipur,430
5/31/2020,Gopalganj,65
5/31/2020,Habiganj,3
5/31/2020,Jamalpur,0
5/31/2020,Jashore,4
5/31/2020,Jhalakhati,0
5/31/2020,Jhenaidah,2
5/31/2020,Joypurhat,0
5/31/2020,Khagrachhari,7
5/31/2020,Khulna,3
5/31/2020,Kishoreganj,0
5/31/2020,Kurigram,1
5/31/2020,Kushtia,6
5/31/2020,Lakshmipur,1
5/31/2020,Lalmonirhat,2
5/31/2020,Madaripur,9
5/31/2020,Magura,0
5/31/2020,Manikganj,8
5/31/2020,Meherpur,7
5/31/2020,Moulvibazar,0
5/31/2020,Munshiganj,59
5/31/2020,Mymensing,2
5/31/2020,Naogaon,64
5/31/2020,Narail,0
5/31/2020,Narayanganj,90
5/31/2020,Narsingdi,5
5/31/2020,Natore,5
5/31/2020,Netrokona,1
5/31/2020,Nilphamari,0
5/31/2020,Noakhali,52
5/31/2020,Pabna,7
5/31/2020,Panchagarh,0
5/31/2020,Patuakhali,42
5/31/2020,Pirojpur,1
5/31/2020,Rajbari,20
5/31/2020,Rajshahi,12
5/31/2020,Rangamati,0
5/31/2020,Rangpur,12
5/31/2020,Satkhira,3
5/31/2020,Shariatpur,1
5/31/2020,Sherpur,1
5/31/2020,Sirajganj,15
5/31/2020,Sunamganj,0
5/31/2020,Sylhet,55
5/31/2020,Tangail,0
5/31/2020,Thakurgaon,0
5/30/2020,Bagerhat,17
5/30/2020,Bandarban,5
5/30/2020,Barguna,23
5/30/2020,Barishal,0
5/30/2020,Bhola,0
5/30/2020,Bogura,0
5/30/2020,Brahmmanbaria,0
5/30/2020,Chandpur,18
5/30/2020,Chapai Nawabganj,8
5/30/2020,Chattogram,153
5/30/2020,Chuadanga,0
5/30/2020,Cox s Bazar,98
5/30/2020,Cumilla,75
5/30/2020,Dhaka,842
5/30/2020,Dinajpur,0
5/30/2020,Faridpur,51
5/30/2020,Feni,58
5/30/2020,Gaibandha,0
5/30/2020,Gazipur,430
5/30/2020,Gopalganj,65
5/30/2020,Habiganj,3
5/30/2020,Jamalpur,0
5/30/2020,Jashore,4
5/30/2020,Jhalakhati,0
5/30/2020,Jhenaidah,2
5/30/2020,Joypurhat,0
5/30/2020,Khagrachhari,7
5/30/2020,Khulna,3
5/30/2020,Kishoreganj,0
5/30/2020,Kurigram,1
5/30/2020,Kushtia,6
5/30/2020,Lakshmipur,1
5/30/2020,Lalmonirhat,2
5/30/2020,Madaripur,9
5/30/2020,Magura,0
5/30/2020,Manikganj,8
5/30/2020,Meherpur,7
5/30/2020,Moulvibazar,0
5/30/2020,Munshiganj,59
5/30/2020,Mymensing,2
5/30/2020,Naogaon,64
5/30/2020,Narail,0
5/30/2020,Narayanganj,90
5/30/2020,Narsingdi,5
5/30/2020,Natore,5
5/30/2020,Netrokona,1
5/30/2020,Nilphamari,0
5/30/2020,Noakhali,52
5/30/2020,Pabna,7
5/30/2020,Panchagarh,0
5/30/2020,Patuakhali,42
5/30/2020,Pirojpur,1
5/30/2020,Rajbari,20
5/30/2020,Rajshahi,12
5/30/2020,Rangamati,0
5/30/2020,Rangpur,12
5/30/2020,Satkhira,3
5/30/2020,Shariatpur,1
5/30/2020,Sherpur,1
5/30/2020,Sirajganj,15
5/30/2020,Sunamganj,0
