Date,District,Cases
5/20/2020,Barguna,0
5/20/2020,Barishal,1
5/20/2020,Bhola,0
5/20/2020,Bogura,7
5/20/2020,Brahmmanbaria,0
5/20/2020,Chandpur,0
5/20/2020,Chapai Nawabganj,5
5/20/2020,Chattogram,160
5/20/2020,Chuadanga,0
5/20/2020,Cox s Bazar,33
5/20/2020,Cumilla,29
5/20/2020,Dhaka,1508
5/20/2020,Dinajpur,6
5/20/2020,Faridpur,37
5/20/2020,Feni,0
5/20/2020,Gaibandha,0
5/20/2020,Gazipur,4
5/20/2020,Gopalganj,3
5/20/2020,Habiganj,0
5/20/2020,Jamalpur,0
5/20/2020,Jashore,7
5/20/2020,Jhalakhati,0
5/20/2020,Jhenaidah,1
5/20/2020,Joypurhat,0
5/20/2020,Khagrachhari,0
5/20/2020,Khulna,4
5/20/2020,Kishoreganj,2
5/20/2020,Kurigram,0
5/20/2020,Kushtia,4
5/20/2020,Lakshmipur,3
5/20/2020,Lalmonirhat,1
5/20/2020,Madaripur,2
5/20/2020,Magura,0
5/20/2020,Manikganj,0
5/20/2020,Meherpur,0
5/20/2020,Moulvibazar,0
5/20/2020,Munshiganj,17
5/20/2020,Mymensing,11
5/20/2020,Naogaon,8
5/20/2020,Narail,3
5/20/2020,Narayanganj,74
5/20/2020,Narsingdi,1
5/20/2020,Natore,0
5/20/2020,Netrokona,8
5/20/2020,Nilphamari,0
5/20/2020,Noakhali,31
5/20/2020,Pabna,8
5/20/2020,Panchagarh,0
5/20/2020,Patuakhali,0
5/20/2020,Pirojpur,0
5/20/2020,Rajbari,6
5/20/2020,Rajshahi,4
5/20/2020,Rangamati,17
5/20/2020,Rangpur,39
5/20/2020,Satkhira,0
5/20/2020,Shariatpur,1
5/20/2020,Sherpur,1
5/20/2020,Sirajganj,1
5/20/2020,Sunamganj,6
5/20/2020,Sylhet,0
5/20/2020,Tangail,2
5/20/2020,Thakurgaon,3
5/19/2020,Bagerhat,3
5/19/2020,Bandarban,1
5/19/2020,Barguna,0
5/19/2020,Barishal,0
5/19/2020,Bhola,1
5/19/2020,Bogura,11
5/19/2020,Brahmmanbaria,0
5/19/2020,Chandpur,0
5/19/2020,Chapai Nawabganj,0
5/19/2020,Chattogram,149
5/19/2020,Chuadanga,2
5/19/2020,Cox s Bazar,7
5/19/2020,Cumilla,36
5/19/2020,Dhaka,512
5/19/2020,Dinajpur,6
5/19/2020,Faridpur,6
5/19/2020,Feni,7
5/19/2020,Gaibandha,0
5/19/2020,Gazipur,5
5/19/2020,Gopalganj,20
5/19/2020,Habiganj,0
5/19/2020,Jamalpur,12
5/19/2020,Jashore,1
5/19/2020,Jhalakhati,0
5/19/2020,Jhenaidah,1
5/19/2020,Joypurhat,13
5/19/2020,Khagrachhari,2
5/19/2020,Khulna,3
5/19/2020,Kishoreganj,0
5/19/2020,Kurigram,2
5/19/2020,Kushtia,3
5/19/2020,Lakshmipur,5
5/19/2020,Lalmonirhat,2
5/19/2020,Madaripur,3
5/19/2020,Magura,0
5/19/2020,Manikganj,10
5/19/2020,Meherpur,0
5/19/2020,Moulvibazar,0
5/19/2020,Munshiganj,28
5/19/2020,Mymensing,20
5/19/2020,Naogaon,0
5/19/2020,Narail,0
5/19/2020,Narayanganj,23
5/19/2020,Narsingdi,0
5/19/2020,Natore,14
5/19/2020,Netrokona,2
5/19/2020,Nilphamari,1
5/19/2020,Noakhali,27
5/19/2020,Pabna,1
5/19/2020,Panchagarh,5
5/19/2020,Patuakhali,0
5/19/2020,Pirojpur,0
5/19/2020,Rajbari,0
5/19/2020,Rajshahi,2
5/19/2020,Rangamati,0
5/19/2020,Rangpur,8
5/19/2020,Satkhira,15
5/19/2020,Shariatpur,2
5/19/2020,Sherpur,11
5/19/2020,Sirajganj,1
5/19/2020,Sunamganj,0
5/19/2020,Sylhet,0
5/19/2020,Tangail,1
5/19/2020,Thakurgaon,2
5/18/2020,Bagerhat,0
5/18/2020,Bandarban,0
5/18/2020,Barguna,0
5/18/2020,Barishal,0
5/18/2020,Bhola,0
5/18/2020,Bogura,0
5/18/2020,Brahmmanbaria,0
5/18/2020,Chandpur,5
5/18/2020,Chapai Nawabganj,21
5/18/2020,Chattogram,96
5/18/2020,Chuadanga,0
5/18/2020,Cox s Bazar,7
5/18/2020,Cumilla,37
5/18/2020,Dhaka,511
5/18/2020,Dinajpur,5
5/18/2020,Faridpur,7
5/18/2020,Feni,7
5/18/2020,Gaibandha,0
5/18/2020,Gazipur,3
5/18/2020,Gopalganj,12
5/18/2020,Habiganj,0
5/18/2020,Jamalpur,20
5/18/2020,Jashore,0
5/18/2020,Jhalakhati,0
5/18/2020,Jhenaidah,0
5/18/2020,Joypurhat,15
5/18/2020,Khagrachhari,0
5/18/2020,Khulna,3
5/18/2020,Kishoreganj,0
5/18/2020,Kurigram,2
5/18/2020,Kushtia,2
5/18/2020,Lakshmipur,7
5/18/2020,Lalmonirhat,0
5/18/2020,Madaripur,3
5/18/2020,Magura,0
5/18/2020,Manikganj,10
5/18/2020,Meherpur,0
5/18/2020,Moulvibazar,0
5/18/2020,Munshiganj,26
5/18/2020,Mymensing,25
5/18/2020,Naogaon,0
5/18/2020,Narail,0
5/18/2020,Narayanganj,22
5/18/2020,Narsingdi,0
5/18/2020,Natore,16
5/18/2020,Netrokona,2
5/18/2020,Nilphamari,0
5/18/2020,Noakhali,28
5/18/2020,Pabna,0
5/18/2020,Panchagarh,0
5/18/2020,Patuakhali,0
5/18/2020,Pirojpur,0
5/18/2020,Rajbari,0
5/18/2020,Rajshahi,0
5/18/2020,Rangamati,0
5/18/2020,Rangpur,6
5/18/2020,Satkhira,9
5/18/2020,Shariatpur,0
5/18/2020,Sherpur,12
5/18/2020,Sirajganj,0
5/18/2020,Sunamganj,0
5/18/2020,Sylhet,0
5/18/2020,Tangail,0
5/18/2020,Thakurgaon,0
5/17/2020,Bagerhat,2
5/17/2020,Bandarban,1
5/17/2020,Barguna,0
5/17/2020,Barishal,0
5/17/2020,Bhola,1
5/17/2020,Bogura,16
5/17/2020,Brahmmanbaria,7
5/17/2020,Chandpur,2
5/17/2020,Chapai Nawabganj,0
5/17/2020,Chattogram,76
5/17/2020,Chuadanga,8
5/17/2020,Cox s Bazar,24
5/17/2020,Cumilla,20
5/17/2020,Dhaka,665
5/17/2020,Dinajpur,3
5/17/2020,Faridpur,1
5/17/2020,Feni,28
5/17/2020,Gaibandha,0
5/17/2020,Gazipur,18
5/17/2020,Gopalganj,1
5/17/2020,Habiganj,12
5/17/2020,Jamalpur,2
5/17/2020,Jashore,2
5/17/2020,Jhalakhati,2
5/17/2020,Jhenaidah,0
5/17/2020,Joypurhat,0
5/17/2020,Khagrachhari,0
5/17/2020,Khulna,4
5/17/2020,Kishoreganj,1
5/17/2020,Kurigram,12
5/17/2020,Kushtia,2
5/17/2020,Lakshmipur,1
5/17/2020,Lalmonirhat,1
5/17/2020,Madaripur,2
5/17/2020,Magura,0
5/17/2020,Manikganj,9
5/17/2020,Meherpur,0
5/17/2020,Moulvibazar,2
5/17/2020,Munshiganj,32
5/17/2020,Mymensing,10
5/17/2020,Naogaon,0
5/17/2020,Narail,1
5/17/2020,Narayanganj,37
5/17/2020,Narsingdi,1
5/17/2020,Natore,0
5/17/2020,Netrokona,17
5/17/2020,Nilphamari,2
5/17/2020,Noakhali,10
5/17/2020,Pabna,1
5/17/2020,Panchagarh,0
5/17/2020,Patuakhali,0
5/17/2020,Pirojpur,0
5/17/2020,Rajbari,0
5/17/2020,Rajshahi,1
5/17/2020,Rangamati,1
5/17/2020,Rangpur,59
5/17/2020,Satkhira,1
5/17/2020,Shariatpur,4
5/17/2020,Sherpur,1
5/17/2020,Sirajganj,0
5/17/2020,Sunamganj,2
5/17/2020,Sylhet,8
5/17/2020,Tangail,5
5/17/2020,Thakurgaon,0
5/16/2020,Bagerhat,0
5/16/2020,Bandarban,0
5/16/2020,Barguna,0
5/16/2020,Barishal,0
5/16/2020,Bhola,0
5/16/2020,Bogura,0
5/16/2020,Brahmmanbaria,0
5/16/2020,Chandpur,2
5/16/2020,Chapai Nawabganj,0
5/16/2020,Chattogram,66
5/16/2020,Chuadanga,38
5/16/2020,Cox s Bazar,22
5/16/2020,Cumilla,19
5/16/2020,Dhaka,345
5/16/2020,Dinajpur,6
5/16/2020,Faridpur,4
5/16/2020,Feni,22
5/16/2020,Gaibandha,0
5/16/2020,Gazipur,19
5/16/2020,Gopalganj,4
5/16/2020,Habiganj,0
5/16/2020,Jamalpur,5
5/16/2020,Jashore,17
5/16/2020,Jhalakhati,0
5/16/2020,Jhenaidah,1
5/16/2020,Joypurhat,13
5/16/2020,Khagrachhari,0
5/16/2020,Khulna,0
5/16/2020,Kishoreganj,0
5/16/2020,Kurigram,1
5/16/2020,Kushtia,0
5/16/2020,Lakshmipur,0
5/16/2020,Lalmonirhat,5
5/16/2020,Madaripur,0
5/16/2020,Magura,1
5/16/2020,Manikganj,0
5/16/2020,Meherpur,0
5/16/2020,Moulvibazar,0
5/16/2020,Munshiganj,0
5/16/2020,Mymensing,9
5/16/2020,Naogaon,5
5/16/2020,Narail,0
5/16/2020,Narayanganj,35
5/16/2020,Narsingdi,0
5/16/2020,Natore,0
5/16/2020,Netrokona,2
5/16/2020,Nilphamari,7
5/16/2020,Noakhali,14
5/16/2020,Pabna,0
5/16/2020,Panchagarh,4
5/16/2020,Patuakhali,0
5/16/2020,Pirojpur,0
5/16/2020,Rajbari,0
5/16/2020,Rajshahi,1
5/16/2020,Rangamati,1
5/16/2020,Rangpur,40
5/16/2020,Satkhira,0
5/16/2020,Shariatpur,0
5/16/2020,Sherpur,0
5/16/2020,Sirajganj,1
5/16/2020,Sunamganj,1
5/16/2020,Sylhet,1
5/16/2020,Tangail,0
5/16/2020,Thakurgaon,3
5/15/2020,Bagerhat,0
5/15/2020,Bandarban,0
5/15/2020,Barguna,0
5/15/2020,Barishal,1
5/15/2020,Bhola,0
5/15/2020,Bogura,0
5/15/2020,Brahmmanbaria,1
5/15/2020,Chandpur,3
5/15/2020,Chapai Nawabganj,0
5/15/2020,Chattogram,56
5/15/2020,Chuadanga,0
5/15/2020,Cox s Bazar,12
5/15/2020,Cumilla,34
5/15/2020,Dhaka,355
5/15/2020,Dinajpur,1
5/15/2020,Faridpur,4
5/15/2020,Feni,1
5/15/2020,Gaibandha,1
5/15/2020,Gazipur,30
5/15/2020,Gopalganj,13
5/15/2020,Habiganj,0
5/15/2020,Jamalpur,1
5/15/2020,Jashore,0
5/15/2020,Jhalakhati,1
5/15/2020,Jhenaidah,0
5/15/2020,Joypurhat,1
5/15/2020,Khagrachhari,0
5/15/2020,Khulna,0
5/15/2020,Kishoreganj,0
5/15/2020,Kurigram,2
5/15/2020,Kushtia,0
5/15/2020,Lakshmipur,4
5/15/2020,Lalmonirhat,2
5/15/2020,Madaripur,0
5/15/2020,Magura,0
5/15/2020,Manikganj,0
5/15/2020,Meherpur,0
5/15/2020,Moulvibazar,0
5/15/2020,Munshiganj,14
5/15/2020,Mymensing,14
5/15/2020,Naogaon,7
5/15/2020,Narail,0
5/15/2020,Narayanganj,46
5/15/2020,Narsingdi,0
5/15/2020,Natore,0
5/15/2020,Netrokona,7
5/15/2020,Nilphamari,0
5/15/2020,Noakhali,20
5/15/2020,Pabna,0
5/15/2020,Panchagarh,0
5/15/2020,Patuakhali,0
5/15/2020,Pirojpur,0
5/15/2020,Rajbari,3
5/15/2020,Rajshahi,3
5/15/2020,Rangamati,1
5/15/2020,Rangpur,17
5/15/2020,Satkhira,0
5/15/2020,Shariatpur,1
5/15/2020,Sherpur,1
5/15/2020,Sirajganj,0
5/15/2020,Sunamganj,0
5/15/2020,Sylhet,0
5/15/2020,Tangail,0
5/15/2020,Thakurgaon,0
5/14/2020,Bagerhat,1
5/14/2020,Bandarban,0
5/14/2020,Barguna,0
5/14/2020,Barishal,3
5/14/2020,Bhola,1
5/14/2020,Bogura,5
5/14/2020,Brahmmanbaria,1
5/14/2020,Chandpur,9
5/14/2020,Chapai Nawabganj,0
5/14/2020,Chattogram,80
5/14/2020,Chuadanga,6
5/14/2020,Cox s Bazar,10
5/14/2020,Cumilla,19
5/14/2020,Dhaka,284
5/14/2020,Dinajpur,3
5/14/2020,Faridpur,7
5/14/2020,Feni,12
5/14/2020,Gaibandha,0
5/14/2020,Gazipur,107
5/14/2020,Gopalganj,3
5/14/2020,Habiganj,10
5/14/2020,Jamalpur,2
5/14/2020,Jashore,5
5/14/2020,Jhalakhati,0
5/14/2020,Jhenaidah,2
5/14/2020,Joypurhat,0
5/14/2020,Khagrachhari,4
5/14/2020,Khulna,1
5/14/2020,Kishoreganj,1
5/14/2020,Kurigram,1
5/14/2020,Kushtia,2
5/14/2020,Lakshmipur,7
5/14/2020,Lalmonirhat,0
5/14/2020,Madaripur,4
5/14/2020,Magura,2
5/14/2020,Manikganj,0
5/14/2020,Meherpur,0
5/14/2020,Moulvibazar,1
5/14/2020,Munshiganj,33
5/14/2020,Mymensing,8
5/14/2020,Naogaon,0
5/14/2020,Narail,1
5/14/2020,Narayanganj,29
5/14/2020,Narsingdi,1
5/14/2020,Natore,1
5/14/2020,Netrokona,1
5/14/2020,Nilphamari,0
5/14/2020,Noakhali,5
5/14/2020,Pabna,0
5/14/2020,Panchagarh,1
5/14/2020,Patuakhali,0
5/14/2020,Pirojpur,0
5/14/2020,Rajbari,1
5/14/2020,Rajshahi,0
5/14/2020,Rangamati,0
5/14/2020,Rangpur,0
5/14/2020,Satkhira,1
5/14/2020,Shariatpur,6
5/14/2020,Sherpur,1
5/14/2020,Sirajganj,0
5/14/2020,Sunamganj,0
5/14/2020,Sylhet,0
5/14/2020,Tangail,3
5/14/2020,Thakurgaon,0
5/13/2020,Bagerhat,0
5/13/2020,Bandarban,0
5/13/2020,Barguna,0
5/13/2020,Barishal,0
5/13/2020,Bhola,0
5/13/2020,Bogura,5
5/13/2020,Brahmmanbaria,0
5/13/2020,Chandpur,9
5/13/2020,Chapai Nawabganj,0
5/13/2020,Chattogram,103
5/13/2020,Chuadanga,5
5/13/2020,Cox s Bazar,10
5/13/2020,Cumilla,20
5/13/2020,Dhaka,284
5/13/2020,Dinajpur,0
5/13/2020,Faridpur,8
5/13/2020,Feni,0
5/13/2020,Gaibandha,0
5/13/2020,Gazipur,6
5/13/2020,Gopalganj,0
5/13/2020,Habiganj,9
5/13/2020,Jamalpur,0
5/13/2020,Jashore,0
5/13/2020,Jhalakhati,0
5/13/2020,Jhenaidah,0
5/13/2020,Joypurhat,0
5/13/2020,Khagrachhari,0
5/13/2020,Khulna,0
5/13/2020,Kishoreganj,0
5/13/2020,Kurigram,2
5/13/2020,Kushtia,0
5/13/2020,Lakshmipur,8
5/13/2020,Lalmonirhat,0
5/13/2020,Madaripur,0
5/13/2020,Magura,2
5/13/2020,Manikganj,0
5/13/2020,Meherpur,0
5/13/2020,Moulvibazar,0
5/13/2020,Munshiganj,33
5/13/2020,Mymensing,8
5/13/2020,Naogaon,0
5/13/2020,Narail,0
5/13/2020,Narayanganj,30
5/13/2020,Narsingdi,0
5/13/2020,Natore,0
5/13/2020,Netrokona,0
5/13/2020,Nilphamari,0
5/13/2020,Noakhali,5
5/13/2020,Pabna,0
5/13/2020,Panchagarh,0
5/13/2020,Patuakhali,0
5/13/2020,Pirojpur,0
5/13/2020,Rajbari,0
5/13/2020,Rajshahi,0
5/13/2020,Rangamati,20
5/13/2020,Rangpur,13
5/13/2020,Satkhira,0
5/13/2020,Shariatpur,0
5/13/2020,Sherpur,0
5/13/2020,Sirajganj,0
5/13/2020,Sunamganj,0
5/13/2020,Sylhet,0
5/13/2020,Tangail,0
5/13/2020,Thakurgaon,0
5/12/2020,Bagerhat,2
5/12/2020,Bandarban,1
5/12/2020,Barguna,0
5/12/2020,Barishal,1
5/12/2020,Bhola,3
5/12/2020,Bogura,0
5/12/2020,Brahmmanbaria,0
5/12/2020,Chandpur,0
5/12/2020,Chapai Nawabganj,1
5/12/2020,Chattogram,0
5/12/2020,Chuadanga,5
5/12/2020,Cox s Bazar,0
5/12/2020,Cumilla,0
5/12/2020,Dhaka,413
5/12/2020,Dinajpur,1
5/12/2020,Faridpur,1
5/12/2020,Feni,4
5/12/2020,Gaibandha,0
5/12/2020,Gazipur,9
5/12/2020,Gopalganj,4
5/12/2020,Habiganj,7
5/12/2020,Jamalpur,0
5/12/2020,Jashore,5
5/12/2020,Jhalakhati,0
5/12/2020,Jhenaidah,1
5/12/2020,Joypurhat,8
5/12/2020,Khagrachhari,0
5/12/2020,Khulna,0
5/12/2020,Kishoreganj,0
5/12/2020,Kurigram,1
5/12/2020,Kushtia,0
5/12/2020,Lakshmipur,0
5/12/2020,Lalmonirhat,2
5/12/2020,Madaripur,0
5/12/2020,Magura,4
5/12/2020,Manikganj,0
5/12/2020,Meherpur,0
5/12/2020,Moulvibazar,0
5/12/2020,Munshiganj,1
5/12/2020,Mymensing,13
5/12/2020,Naogaon,0
5/12/2020,Narail,0
5/12/2020,Narayanganj,43
5/12/2020,Narsingdi,0
5/12/2020,Natore,0
5/12/2020,Netrokona,11
5/12/2020,Nilphamari,2
5/12/2020,Noakhali,11
5/12/2020,Pabna,0
5/12/2020,Panchagarh,0
5/12/2020,Patuakhali,0
5/12/2020,Pirojpur,0
5/12/2020,Rajbari,0
5/12/2020,Rajshahi,0
5/12/2020,Rangamati,0
5/12/2020,Rangpur,9
5/12/2020,Satkhira,0
5/12/2020,Shariatpur,0
5/12/2020,Sherpur,0
5/12/2020,Sirajganj,0
5/12/2020,Sunamganj,5
5/12/2020,Sylhet,3
5/12/2020,Tangail,1
5/12/2020,Thakurgaon,1
5/11/2020,Bagerhat,0
5/11/2020,Bandarban,0
5/11/2020,Barguna,0
5/11/2020,Barishal,1
5/11/2020,Bhola,0
5/11/2020,Bogura,0
5/11/2020,Brahmmanbaria,1
5/11/2020,Chandpur,1
5/11/2020,Chapai Nawabganj,0
5/11/2020,Chattogram,94
5/11/2020,Chuadanga,2
5/11/2020,Cox s Bazar,24
5/11/2020,Cumilla,15
5/11/2020,Dhaka,641
5/11/2020,Dinajpur,0
5/11/2020,Faridpur,7
5/11/2020,Feni,1
5/11/2020,Gaibandha,0
5/11/2020,Gazipur,5
5/11/2020,Gopalganj,2
5/11/2020,Habiganj,1
5/11/2020,Jamalpur,0
5/11/2020,Jashore,0
5/11/2020,Jhalakhati,0
5/11/2020,Jhenaidah,2
5/11/2020,Joypurhat,5
5/11/2020,Khagrachhari,0
5/11/2020,Khulna,2
5/11/2020,Kishoreganj,3
5/11/2020,Kurigram,0
5/11/2020,Kushtia,2
5/11/2020,Lakshmipur,16
5/11/2020,Lalmonirhat,0
5/11/2020,Madaripur,3
5/11/2020,Magura,2
5/11/2020,Manikganj,1
5/11/2020,Meherpur,0
5/11/2020,Moulvibazar,3
5/11/2020,Munshiganj,0
5/11/2020,Mymensing,12
5/11/2020,Naogaon,8
5/11/2020,Narail,1
5/11/2020,Narayanganj,45
5/11/2020,Narsingdi,1
5/11/2020,Natore,0
5/11/2020,Netrokona,2
5/11/2020,Nilphamari,0
5/11/2020,Noakhali,18
5/11/2020,Pabna,0
5/11/2020,Panchagarh,0
5/11/2020,Patuakhali,1
5/11/2020,Pirojpur,0
5/11/2020,Rajbari,0
5/11/2020,Rajshahi,1
5/11/2020,Rangamati,0
5/11/2020,Rangpur,6
5/11/2020,Satkhira,0
5/11/2020,Shariatpur,8
5/11/2020,Sherpur,3
5/11/2020,Sirajganj,0
5/11/2020,Sunamganj,0
5/11/2020,Sylhet,0
5/11/2020,Tangail,0
5/11/2020,Thakurgaon,0
5/10/2020,Bagerhat,0
5/10/2020,Bandarban,0
5/10/2020,Barguna,2
5/10/2020,Barishal,6
5/10/2020,Bhola,0
5/10/2020,Bogura,0
5/10/2020,Brahmmanbaria,0
5/10/2020,Chandpur,0
5/10/2020,Chapai Nawabganj,0
5/10/2020,Chattogram,13
5/10/2020,Chuadanga,0
5/10/2020,Cox s Bazar,6
5/10/2020,Cumilla,2
5/10/2020,Dhaka,239
5/10/2020,Dinajpur,4
5/10/2020,Faridpur,3
5/10/2020,Feni,0
5/10/2020,Gaibandha,1
5/10/2020,Gazipur,1
5/10/2020,Gopalganj,6
5/10/2020,Habiganj,3
5/10/2020,Jamalpur,6
5/10/2020,Jashore,0
5/10/2020,Jhalakhati,0
5/10/2020,Jhenaidah,0
5/10/2020,Joypurhat,3
5/10/2020,Khagrachhari,0
5/10/2020,Khulna,0
5/10/2020,Kishoreganj,0
5/10/2020,Kurigram,1
5/10/2020,Kushtia,1
5/10/2020,Lakshmipur,0
5/10/2020,Lalmonirhat,0
5/10/2020,Madaripur,0
5/10/2020,Magura,0
5/10/2020,Manikganj,0
5/10/2020,Meherpur,0
5/10/2020,Moulvibazar,3
5/10/2020,Munshiganj,4
5/10/2020,Mymensing,9
5/10/2020,Naogaon,1
5/10/2020,Narail,0
5/10/2020,Narayanganj,21
5/10/2020,Narsingdi,0
5/10/2020,Natore,1
5/10/2020,Netrokona,0
5/10/2020,Nilphamari,0
5/10/2020,Noakhali,3
5/10/2020,Pabna,2
5/10/2020,Panchagarh,0
5/10/2020,Patuakhali,0
5/10/2020,Pirojpur,1
5/10/2020,Rajbari,0
5/10/2020,Rajshahi,0
5/10/2020,Rangamati,0
5/10/2020,Rangpur,8
5/10/2020,Satkhira,0
5/10/2020,Shariatpur,0
5/10/2020,Sherpur,6
5/10/2020,Sirajganj,0
5/10/2020,Sunamganj,1
5/10/2020,Sylhet,8
5/10/2020,Tangail,0
5/10/2020,Thakurgaon,0
5/9/2020,Bagerhat,1
5/9/2020,Bandarban,0
5/9/2020,Barguna,1
5/9/2020,Barishal,0
5/9/2020,Bhola,0
5/9/2020,Bogura,0
5/9/2020,Brahmmanbaria,0
5/9/2020,Chandpur,12
5/9/2020,Chapai Nawabganj,2
5/9/2020,Chattogram,48
5/9/2020,Chuadanga,0
5/9/2020,Cox s Bazar,5
5/9/2020,Cumilla,19
5/9/2020,Dhaka,264
5/9/2020,Dinajpur,2
5/9/2020,Faridpur,0
5/9/2020,Feni,0
5/9/2020,Gaibandha,0
5/9/2020,Gazipur,2
5/9/2020,Gopalganj,1
5/9/2020,Habiganj,0
5/9/2020,Jamalpur,2
5/9/2020,Jashore,0
5/9/2020,Jhalakhati,0
5/9/2020,Jhenaidah,4
5/9/2020,Joypurhat,0
5/9/2020,Khagrachhari,1
5/9/2020,Khulna,0
5/9/2020,Kishoreganj,0
5/9/2020,Kurigram,1
5/9/2020,Kushtia,0
5/9/2020,Lakshmipur,8
5/9/2020,Lalmonirhat,0
5/9/2020,Madaripur,0
5/9/2020,Magura,1
5/9/2020,Manikganj,0
5/9/2020,Meherpur,0
5/9/2020,Moulvibazar,0
5/9/2020,Munshiganj,2
5/9/2020,Mymensing,8
5/9/2020,Naogaon,0
5/9/2020,Narail,0
5/9/2020,Narayanganj,41
5/9/2020,Narsingdi,0
5/9/2020,Natore,0
5/9/2020,Netrokona,4
5/9/2020,Nilphamari,6
5/9/2020,Noakhali,0
5/9/2020,Pabna,0
5/9/2020,Panchagarh,0
5/9/2020,Patuakhali,0
5/9/2020,Pirojpur,6
5/9/2020,Rajbari,0
5/9/2020,Rajshahi,0
5/9/2020,Rangamati,0
5/9/2020,Rangpur,31
5/9/2020,Satkhira,0
5/9/2020,Shariatpur,0
5/9/2020,Sherpur,0
5/9/2020,Sirajganj,0
5/9/2020,Sunamganj,2
5/9/2020,Sylhet,0
5/9/2020,Tangail,0
5/9/2020,Thakurgaon,0
5/8/2020,Bagerhat,0
5/8/2020,Bandarban,0
5/8/2020,Barguna,0
5/8/2020,Barishal,1
5/8/2020,Bhola,0
5/8/2020,Bogura,0
5/8/2020,Brahmmanbaria,1
5/8/2020,Chandpur,1
5/8/2020,Chapai Nawabganj,1
5/8/2020,Chattogram,19
5/8/2020,Chuadanga,8
5/8/2020,Cox s Bazar,19
5/8/2020,Cumilla,15
5/8/2020,Dhaka,281
5/8/2020,Dinajpur,5
5/8/2020,Faridpur,0
5/8/2020,Feni,1
5/8/2020,Gaibandha,0
5/8/2020,Gazipur,2
5/8/2020,Gopalganj,4
5/8/2020,Habiganj,0
5/8/2020,Jamalpur,23
5/8/2020,Jashore,4
5/8/2020,Jhalakhati,0
5/8/2020,Jhenaidah,1
5/8/2020,Joypurhat,2
5/8/2020,Khagrachhari,0
5/8/2020,Khulna,0
5/8/2020,Kishoreganj,0
5/8/2020,Kurigram,11
5/8/2020,Kushtia,0
5/8/2020,Lakshmipur,2
5/8/2020,Lalmonirhat,9
5/8/2020,Madaripur,1
5/8/2020,Magura,3
5/8/2020,Manikganj,0
5/8/2020,Meherpur,1
5/8/2020,Moulvibazar,1
5/8/2020,Munshiganj,32
5/8/2020,Mymensing,3
5/8/2020,Naogaon,7
5/8/2020,Narail,0
5/8/2020,Narayanganj,58
5/8/2020,Narsingdi,4
5/8/2020,Natore,1
5/8/2020,Netrokona,1
5/8/2020,Nilphamari,4
5/8/2020,Noakhali,4
5/8/2020,Pabna,0
5/8/2020,Panchagarh,1
5/8/2020,Patuakhali,0
5/8/2020,Pirojpur,0
5/8/2020,Rajbari,0
5/8/2020,Rajshahi,0
5/8/2020,Rangamati,0
5/8/2020,Rangpur,0
5/8/2020,Satkhira,0
5/8/2020,Shariatpur,2
5/8/2020,Sherpur,2
5/8/2020,Sirajganj,2
5/8/2020,Sunamganj,0
5/8/2020,Sylhet,0
5/8/2020,Tangail,1
5/8/2020,Thakurgaon,3
5/7/2020,Bagerhat,0
5/7/2020,Bandarban,0
5/7/2020,Barguna,1
5/7/2020,Barishal,3
5/7/2020,Bhola,1
5/7/2020,Bogura,0
5/7/2020,Brahmmanbaria,0
5/7/2020,Chandpur,5
5/7/2020,Chapai Nawabganj,9
5/7/2020,Chattogram,28
5/7/2020,Chuadanga,0
5/7/2020,Cox s Bazar,13
5/7/2020,Cumilla,5
5/7/2020,Dhaka,242
5/7/2020,Dinajpur,2
5/7/2020,Faridpur,0
5/7/2020,Feni,0
5/7/2020,Gaibandha,0
5/7/2020,Gazipur,0
5/7/2020,Gopalganj,0
5/7/2020,Habiganj,0
5/7/2020,Jamalpur,0
5/7/2020,Jashore,0
5/7/2020,Jhalakhati,3
5/7/2020,Jhenaidah,0
5/7/2020,Joypurhat,3
5/7/2020,Khagrachhari,0
5/7/2020,Khulna,3
5/7/2020,Kishoreganj,0
5/7/2020,Kurigram,0
5/7/2020,Kushtia,2
5/7/2020,Lakshmipur,3
5/7/2020,Lalmonirhat,0
5/7/2020,Madaripur,0
5/7/2020,Magura,0
5/7/2020,Manikganj,0
5/7/2020,Meherpur,0
5/7/2020,Moulvibazar,0
5/7/2020,Munshiganj,8
5/7/2020,Mymensing,3
5/7/2020,Naogaon,0
5/7/2020,Narail,0
5/7/2020,Narayanganj,6
5/7/2020,Narsingdi,0
5/7/2020,Natore,0
5/7/2020,Netrokona,1
5/7/2020,Nilphamari,0
5/7/2020,Noakhali,1
5/7/2020,Pabna,0
5/7/2020,Panchagarh,1
5/7/2020,Patuakhali,0
5/7/2020,Pirojpur,0
5/7/2020,Rajbari,0
5/7/2020,Rajshahi,0
5/7/2020,Rangamati,4
5/7/2020,Rangpur,7
5/7/2020,Satkhira,0
5/7/2020,Shariatpur,1
5/7/2020,Sherpur,1
5/7/2020,Sirajganj,0
5/7/2020,Sunamganj,0
5/7/2020,Sylhet,0
5/7/2020,Tangail,0
5/7/2020,Thakurgaon,0
5/6/2020,Bagerhat,0
5/6/2020,Bandarban,0
5/6/2020,Barguna,0
5/6/2020,Barishal,3
5/6/2020,Bhola,1
5/6/2020,Bogura,0
5/6/2020,Brahmmanbaria,0
5/6/2020,Chandpur,10
5/6/2020,Chapai Nawabganj,0
